"Topic Behavior","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Ad Views",
"Technology: All(31457281)","Technology: All(31457281)","Technology: All(31457281)","Technology: All(31457281)","Technology: All(31457281)","Technology: All(31457281)","Technology: All(31457281)","1.51140279E8"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Consumer Electronics: All(31463078)","Consumer Electronics: All(31463078)","Consumer Electronics: All(31463078)","Consumer Electronics: All(31463078)","Consumer Electronics: All(31463078)","9.3426682E7"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio, TV & Video: All(31463814)","Audio, TV & Video: All(31463814)","Audio, TV & Video: All(31463814)","Audio, TV & Video: All(31463814)","1.2021391E7"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Audio: All(31463815)","Audio: All(31463815)","Audio: All(31463815)","4176646.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Accessories: All(31463825)","Accessories: All(31463825)","Accessories: All(31463825)","396289.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Accessories: All(31463825)","Cable Management & Concealm...(31463826)","Cable Management & Concealm...(31463826)","85619.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Accessories: All(31463825)","Remote Controls: All(31669458)","Remote Controls: All(31669458)","10905.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Accessories: All(31463825)","Splitters, Couplers & Adapt...(31669459)","Splitters, Couplers & Adapt...(31669459)","291215.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Accessories: All(31463825)","Switchers: All(31669460)","Switchers: All(31669460)","1873.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Headphones and Headsets: All(31463102)","Headphones and Headsets: All(31463102)","Headphones and Headsets: All(31463102)","1516712.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Headphones and Headsets: All(31463102)","By Brand: All(31464060)","By Brand: All(31464060)","602813.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Headphones and Headsets: All(31463102)","By Brand: All(31464060)","AKG: All(31669461)","30622.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Headphones and Headsets: All(31463102)","By Brand: All(31464060)","Audio-Technica: All(31669462)","24566.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Headphones and Headsets: All(31463102)","By Brand: All(31464060)","Beats by Dr. Dre: All(31464061)","14119.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Headphones and Headsets: All(31463102)","By Brand: All(31464060)","Bose: All(31464064)","74662.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Headphones and Headsets: All(31463102)","By Brand: All(31464060)","Jabra: All(31669463)","24778.0"
"Technology: All(31457281)","Consumer Electronics: All(31463078)","Audio, TV & Video: All(31463814)","Audio: All(31463815)","Headphones and Headsets: All(31463102)","By Brand: All(31464060)","JBL: All(31669464)","11055.0"
